GenProtEC: Gene product function of E. coli K-12.
August 28th, 2007.

eck	bnum	genbank	gene	gene type	gene product	EC no1	EC no2	EC no3	EC no4
ECK0826	b0836	1787059	yliH	o	conserved protein				
ECK0827	b0837	1787060	yliI	pe	predicted dehydrogenase				
ECK0828	b0838	87081789	yliJ	pe	predicted glutathione S-transferase				
ECK0829	b0839	1787062	dacC	e	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)	3.4.16.4			
ECK0830	b0840	1787063	deoR	r	DNA-binding transcriptional repressor				
ECK0831	b0841	1787064	ybjG	e	undecaprenyl pyrophosphate phosphatase				
ECK0832	b0842	1787065	cmr	t	multidrug efflux system protein				
ECK0833	b0843	1787066	ybjH	o	predicted protein				
ECK0834	b0844	87081790	ybjI	d	conserved protein				
ECK0835	b0845	1787068	ybjJ	pt	predicted transporter				
ECK0836	b0846	1787069	ybjK	pr	predicted DNA-binding transcriptional regulator				
ECK0837	b4417		rybB	n	small RNA				
ECK0838	b0847	1787071	ybjL	pt	predicted transporter				
ECK0839	b0848	1787072	ybjM	pm	predicted inner membrane protein				
ECK0840	b0849	1787073	grxA	c	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)				
ECK0841	b0850	1787074	ybjC	pm	predicted inner membrane protein				
ECK0842	b0851	1787075	nfsA	e	nitroreductase A, NADPH-dependent, FMN-dependent	1.-			
ECK0843	b0852	1787076	rimK	s	ribosomal protein S6 modification protein				
ECK0844	b0853	1787077	ybjN	ph	predicted protein stabilizer				
ECK0845	b0854	1787078	potF	t	putrescine transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0846	b0855	87081791	potG	t	putrescine transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0847	b0856	1787080	potH	t	putrescine transporter subunit -!- membrane component of ABC superfamily				
ECK0848	b0857	1787081	potI	t	putrescine transporter subunit -!- membrane component of ABC superfamily				
ECK0849	b0858	1787082	ybjO	pm	predicted inner membrane protein				
ECK0850	b0859	1787083	rumB	e	23S rRNA m(5)U747 methyltransferase	2.1.1.-			
ECK0851	b0860	1787085	artJ	t	arginine transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0852	b0861	1787086	artM	t	arginine transporter subunit -!- membrane component of ABC superfamily				
ECK0853	b0862	1787087	artQ	t	arginine transporter subunit -!-membrane component of ABC superfamily				
ECK0854	b0863	1787088	artI	t	arginine transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0855	b0864	1787089	artP	t	arginine transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0856	b0865	1787090	ybjP	lp	predicted lipoprotein				
ECK0857	b0866	1787091	ybjQ	o	conserved protein				
ECK0858	b0867	1787092	amiD	e	N-acetyl-anhydromuranmyl-L-alanine amidase				
ECK0859	b0868	87081792	ybjS	pe	predicted oxidoreductase with NAD(P)-binding domain				
ECK0860	b0869	87081793	ybjT	d	conserved protein with NAD(P)-binding Rossmann-fold domain				
ECK0861	b0870	1787095	ltaE	e	L-allo-threonine aldolase, PLP-dependent	4.1.2.5			
ECK0862	b0871	1787096	poxB	e	pyruvate dehydrogenase (pyruvate oxidase), thiamin-dependent, FAD-binding	1.2.2.2			
ECK0863	b0872	1787098	hcr	e	HCP oxidoreductase, NADH-dependent	1.-			
ECK0864	b0873	87081794	hcp	c	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases				
ECK0865	b0874	87081795	ybjE	pt	predicted transporter				
ECK0866	b0875	1787101	aqpZ	t	aquaporin				
ECK0867	b0876	1787102	ybjD	d	conserved protein with nucleoside triphosphate hydrolase domain				
ECK0868	b0877	1787103	ybjX	o	conserved protein				
ECK0869	b0878	87081796	macA	t	macrolide transporter subunit, membrane fusion protein (MFP) component				
ECK0870	b0879	1787105	macB	t	fused macrolide transporter subunits -!- ATP-binding component and membrane component of ABC superfamily				
ECK0871	b0880	1787107	cspD	f	cold shock protein homolog				
ECK0872	b0881	1787108	clpS	r	regulatory protein for ClpA substrate specificity				
ECK0873	b0882	1787109	clpA	e	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity				
ECK0874	b0883		serW	n	tRNA-Ser(GGA) (Serine tRNA5)				
ECK0875	b0884	1787110	infA	f	translation initiation factor IF-1				
ECK0876	b0885	1787111	aat	e	leucyl/phenylalanyl-tRNA-protein transferase	2.3.2.6			
ECK0877	b0886	1787112	cydC	t	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily				
ECK0878	b0887	1787113	cydD	t	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily				
ECK0879	b0888	1787114	trxB	e	thioredoxin reductase, FAD/NAD(P)-binding, redox-active disulfide bond	1.8.1.9			
ECK0880	b0889	1787116	lrp	r	DNA-binding transcriptional dual regulator, leucine-binding				
ECK0881	b0890	1787117	ftsK	cp	DNA-binding membrane protein required for chromosome resolution and partitioning				
ECK0882	b0891	1787118	lolA	f	chaperone for lipoproteins				
ECK0883	b0892	1787119	ycaJ	cp	recombination protein				
ECK0884	b0893	1787120	serS	e	seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine	6.1.1.11			
ECK0885	b0894	87081797	dmsA	e	dimethyl sulfoxide reductase, anaerobic, subunit A, FeS, binds Mo	1.8.99.-			
ECK0886	b0895	1787122	dmsB	e	dimethyl sulfoxide reductase, anaerobic, subunit B, FeS	1.8.99.-			
ECK0887	b0896	1787123	dmsC	e	dimethyl sulfoxide reductase, anaerobic, subunit C	1.8.99.-			
ECK0888	b0897	1787124	ycaC	pe	predicted hydrolase				
ECK0889	b0898	1787126	ycaD	pt	predicted transporter				
ECK0890	b0899	87081798	ycaM	pt	predicted transporter				
ECK0891	b0900	1787128	ycaN	pr	predicted DNA-binding transcriptional regulator				
ECK0892	b0901	1787129	ycaK	d	conserved protein				
ECK0893	b0902	1787130	pflA	e	pyruvate formate lyase activating enzyme 1	1.97.1.4			
ECK0894	b0903	1787131	pflB	e	pyruvate formate lyase I	2.3.1.54			
ECK0895	b0904	1787132	focA	t	formate transporter				
ECK0896	b0905	87081799	ycaO	o	conserved protein				
ECK0897	b0906	1787135	ycaP	pm	conserved inner membrane protein				
ECK0898	b0907	1787136	serC	e	3-phosphoserine/phosphohydroxythreonine aminotransferase	2.6.1.52			
ECK0899	b0908	1787137	aroA	e	5-enolpyruvylshikimate-3-phosphate synthetase	2.5.1.19			
ECK0900	b0909	87081800	ycaL	pf	predicted peptidase with chaperone function				
ECK0901	b0910	1787139	cmk	e	cytidylate kinase	2.7.4.14			
ECK0902	b0911	1787140	rpsA	s	30S ribosomal subunit protein S1				
ECK0903	b0912	1787141	ihfB	r	integration host factor (IHF), DNA-binding protein, beta subunit				
ECK0904	b0913	87081801	ycaI	pm	conserved inner membrane protein				
ECK0905	b0914	1787143	msbA	t	fused lipid transporter subunits -!- membrane component and ATP-binding component of ABC superfamily				
ECK0906	b0915	1787144	lpxK	e	lipid A 4'kinase	2.7.1.130			
ECK0907	b0916	1787145	ycaQ	o	conserved protein				
ECK0908	b0917	1787146	ycaR	o	conserved protein				
ECK0909	b0918	1787147	kdsB	e	3-deoxy-manno-octulosonate cytidylyltransferase	2.7.7.38			
ECK0910	b0919	1787149	ycbJ	d	conserved protein				
ECK0911	b0920	1787150	ycbC	pm	conserved inner membrane protein				
ECK0912	b0921	1787151	smtA	pe	predicted S-adenosylmethionine-dependent methyltransferase				
ECK0913	b0922	1787152	mukF	cp	Involved in chromosome partioning, Ca2+ binding protein				
ECK0914	b0923	1787153	mukE	cp	protein involved in chromosome partitioning				
ECK0915	b0924	1787154	mukB	f	fused chromosome partitioning proteins				
ECK0916	b0925	1787155	ycbB	pe	predicted carboxypeptidase				
ECK0917	b0926	1787157	ycbK	d	conserved protein				
ECK0918	b0927	1787158	ycbL	pe	predicted metal-binding enzyme				
ECK0919	b0928	1787159	aspC	e	aspartate aminotransferase, PLP-dependent	2.6.1.1			
ECK0920	b0929	1787160	ompF	t	outer membrane porin 1a (Ia;b;F)				
ECK0921	b0930	1787161	asnS	e	asparaginyl tRNA synthetase	6.1.1.22			
ECK0922	b0931	1787162	pncB	e	nicotinate phosphoribosyltransferase	2.4.2.11			
ECK0923	b0932	1787163	pepN	e	aminopeptidase N	3.4.11.2			
ECK0924	b0933	1787164	ssuB	t	alkanesulfonate transporter subunit -!- ATP-binding component of ABC superfamily				
ECK0925	b0934	87081802	ssuC	t	alkanesulfonate transporter subunit -!- membrane component of ABC superfamily				
ECK0926	b0935	1787166	ssuD	e	alkanesulfonate monooxygenase, FMNH(2)-dependent	1.14.14.5			
ECK0927	b0936	87081803	ssuA	t	alkanesulfonate transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK0928	b0937	1787168	ssuE	e	NAD(P)H-dependent FMN reductase	1.5.1.29			
ECK0929	b0938	87081804	ycbQ	ps	predicted fimbrial-like adhesin protein				
ECK0930	b0939	1787171	ycbR	pf	predicted periplasmic pilin chaperone				
ECK0931	b0940	1787172	ycbS	pf	predicted outer membrane usher protein				
ECK0932	b0941	1787173	ycbT	ps	predicted fimbrial-like adhesin protein				
ECK0933	b0942	1787174	ycbU	ps	predicted fimbrial-like adhesin protein				
ECK0934	b0943	87081805	ycbV	ps	predicted fimbrial-like adhesin protein				
ECK0935	b0944	87081806	ycbF	pf	predicted periplasmic pilini chaperone				
ECK0936	b0945	1787177	pyrD	e	dihydro-orotate oxidase, FMN-linked	1.3.3.1			
ECK0937	b0946	87081807	ycbW	o	predicted protein				
ECK0938	b0947	1787179	ycbX	pc	predicted 2Fe-2S cluster-containing protein				
ECK0939	b0948	1787181	rlmL	e	23S rRNA m2G2445 methyltransferase				
ECK0940	b0949	1787182	uup	pt	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily				
ECK0941	b0950	1787183	pqiA	cp	paraquat-inducible membrane protein A				
ECK0942	b0951	1787184	pqiB	cp	paraquat-inducible protein B				
ECK0943	b0952	1787185	ymbA	o	conserved protein				
ECK0944	b0953	1787186	rmf	f	ribosome modulation factor				
ECK0945	b0954	1787187	fabA	e	beta-hydroxydecanoyl thioester dehydrase	4.2.1.60			
ECK0946	b0955	1787188	ycbZ	pe	predicted peptidase				
ECK0947	b0956	1787190	ycbG	o	conserved protein				
ECK0948	b0957	1787191	ompA	m	outer membrane protein A (3a;II*;G;d)				
ECK0949	b0958	1787192	sulA	cp	SOS cell division inhibitor				
ECK0950	b0959	1787193	yccR	o	conserved protein				
ECK0951	b0960	87081808	yccS	pm	predicted inner membrane protein				
ECK0952	b0961	1787195	yccF	pm	conserved inner membrane protein				
ECK0953	b0962	1787196	helD	e	DNA helicase IV	3.6.1.-			
ECK0954	b0963	87081809	mgsA	e	methylglyoxal synthase	4.2.3.3			
ECK0955	b0964	1787198	yccT	o	conserved protein				
ECK0956	b0965	87081810	yccU	d	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain				
ECK0957	b0966	1787200	hspQ	f	heat shock protein, DNA-binding, hemimethylated				
ECK0958	b0967	1787201	yccW	pe	predicted methyltransferase				
ECK0959	b0968	1787203	yccX	pe	predicted acylphosphatase				
ECK0960	b0969	87081811	yccK	e	tRNA 2-thiouridine synthesizing protein, sulfur mediator, TusE				
ECK0961	b0970	1787205	yccA	m	inner membrane protein				
ECK0962	b0971		serT	n	tRNA-Ser(UGA) (Serine tRNA1)				
ECK0963	b0972	1787206	hyaA	e	hydrogenase 1, small subunit	1.12.7.2			
ECK0964	b0973	1787207	hyaB	e	hydrogenase 1, large subunit	1.12.7.2			
ECK0965	b0974	1787208	hyaC	c	hydrogenase 1, b-type cytochrome subunit				
ECK0966	b0975	1787209	hyaD	f	protein involved in processing of HyaA and HyaB proteins				
ECK0967	b0976	1787210	hyaE	f	protein involved in processing of HyaA and HyaB proteins				
ECK0968	b0977	1787211	hyaF	f	protein involved in nickel incorporation into hydrogenase-1 proteins				
ECK0969	b0978	1787212	appC	c	cytochrome bd-II oxidase, subunit I	1.10.3.-			
ECK0970	b0979	1787213	appB	c	cytochrome bd-II oxidase, subunit II	1.10.3.-			
ECK0971	b0980	1787215	appA	e	phosphoanhydride phosphorylase	3.1.3.26	3.1.3.2		
ECK0972	b0981	1787216	yccC	e	cryptic autophosphorylating protein tyrosine kinase Etk	2.7.1.112			
ECK0973	b0982	87081812	etp	e	phosphotyrosine-protein phosphatase				
ECK0974	b0983	1787218	yccZ	pt	predicted exopolysaccharide export protein				
ECK0975	b0984	1787219	ymcA	o	conserved protein				
ECK0976	b0985	1787220	ymcB	o	conserved protein				
ECK0977	b0986	1787221	ymcC	pm	predicted outer membrane lipoprotein				
ECK0978	b0987	87081813	ymcD	o	predicted protein				
ECK0979	b0989	2367112	cspH	f	stress protein, member of the CspA-family				
ECK0980	b0990	2367114	cspG	r	DNA-binding transcriptional regulator				
ECK0981	b0991	1787225	ymcE	f	cold shock gene				
ECK0982	b4517	87081815	gnsA	pr	predicted regulator of phosphatidylethanolamine synthesis				
ECK0983	b0992	1787226	yccM	pc	predicted 4Fe-4S membrane protein				
ECK0984	b0993	87081816	torS	r	hybrid sensory histidine kinase in two-component regulatory system with TorR				
ECK0985	b0994	1787228	torT	r	periplasmic sensory protein associated with the TorRS two-component regulatory system				
ECK0986	b0995	1787229	torR	r	DNA-binding response regulator in two-component regulatory system with TorS				
ECK0987	b0996	1787230	torC	c	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit				
ECK0988	b0997	1787231	torA	e	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit, ferrichrome, binds Mo	1.6.6.9			
ECK0989	b0998	1787232	torD	f	chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I				
ECK0990	b0999	1787234	cbpM	f	modulator of CbpA co-chaperone				
ECK0991	b1000	1787235	cbpA	f	curved DNA-binding protein, DnaJ homologue that functions as a co-chaperone of DnaK				
ECK0992	b1001	1787236	yccE	o	predicted protein				
ECK0993	b1002	1787237	agp	e	glucose-1-phosphatase/inositol phosphatase	3.1.3.10			
ECK0994	b1003	1787238	yccJ	o	predicted protein				
ECK0995	b1004	1787239	wrbA	e	NAD(P)H:quinone oxidoreductase				
ECK0996	b4518	87081817	ymdF	o	conserved protein				
ECK0997	b1006	87081818	rutG	pt	predicted xanthine/urasil transporter				
ECK0998	b1007	87081819	rutF	pe	predicted flavin reductase				
ECK0999	b1008	1787243	rutE	pe	predicted nitroreductase				
ECK1000	b1009	1787244	rutD	pe	predicted hydrolase				
ECK1001	b1010	1787245	rutC	pe	predicted endoribonuclease				
ECK1002	b1011	87081820	rutB	pe	predicted isochorismatase				
ECK1003	b1012	1787247	rutA	pe	predicted coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin reductase				
ECK1004	b1013	1787249	rutR	pr	predicted transcriptional regulator for rut operon				
ECK1005	b1014	1787250	putA	e	fused DNA-binding transcriptional regulator -!- proline dehydrogenase -!- pyrroline-5-carboxylate dehydrogenase	1.5.99.8	1.5.1.12		
ECK1006	b1015	1787251	putP	t	proline/propionate:sodium symporter				
ECK1007	b1016	87081821	ycdN_1	su	low-pH Fe(2+) importer subunit, N-ter fragment (pseudogene)				
ECK1007	b1017	87081822	ycdN_2	su	low-pH Fe(2+) importer subunit, C-ter fragment (pseudogene)				
ECK1007	b4490		efeU	su	ferrous iron-uptake transporter (pseudogene)				
ECK1008	b1018	1787254	ycdO	o	low-pH Fe(2+) importer subunit				
ECK1009	b1019	1787255	ycdB	e	acid peroxidase with heme cofactor, low-pH Fe(2+) importer subunit				
ECK1010	b1020	1787257	phoH	d	conserved protein with nucleoside triphosphate hydrolase domain				
ECK1011	b1021	1787258	ycdP	pm	predicted inner membrane protein				
ECK1012	b1022	1787259	ycdQ	pe	predicted glycosyl transferase				
ECK1013	b1023	1787260	ycdR	pe	predicted enzyme associated with biofilm formation				
ECK1014	b1024	1787261	ycdS	pm	predicted outer membrane protein				
ECK1015	b1025	1787262	ycdT	pr	predicted diguanylate cyclase				
ECK1016	b1028	87081823	ymdE	su	predicted protein (pseudogene)				
ECK1017	b1029	1787267	ycdU	pm	predicted inner membrane protein				
ECK1018	b1032		serX	n	tRNA-Ser(GGA) (Serine tRNA5)				
ECK1019	b1033	87081824	ycdW	e	2-ketoacid reductase	1.1.1.79			
ECK1020	b1034	1787271	ycdX	pe	predicted zinc-binding hydrolase				
ECK1021	b1035	1787272	ycdY	o	conserved protein				
ECK1022	b1036	87081825	ycdZ	pm	predicted inner membrane protein				
ECK1023	b1037	1787274	csgG	lp	outer membrane lipoprotein				
ECK1024	b1038	1787275	csgF	pt	predicted transport protein				
ECK1025	b1039	1787276	csgE	pt	predicted  transport protein				
ECK1026	b1040	1787277	csgD	r	DNA-binding transcriptional activator in two-component regulatory system				
ECK1027	b1041	1787278	csgB	f	curlin nucleator protein, minor subunit in curli complex				
ECK1028	b1042	1787279	csgA	s	cryptic curlin major subunit				
ECK1029	b1043	1787280	csgC	pf	predicted curli production protein				
ECK1030	b1044	1787281	ymdA	o	predicted protein				
ECK1031	b1045	1787283	ymdB	o	conserved protein				
ECK1032	b1046	87081826	ymdC	pe	predicted group transfer				
ECK1033	b1047	1787285	mdoC	m	membrane protein required for modification of periplasmic glucan				
ECK1034	b1048	1787286	mdoG	e	glucan biosynthesis protein, periplasmic				
ECK1035	b1049	1787287	mdoH	e	glucan biosynthesis: glycosyl transferase				
ECK1036	b1050	1787288	yceK	lp	predicted lipoprotein				
ECK1037	b1051	87081827	msyB	o	predicted protein				
ECK1038	b1053	1787291	mdtG	pt	predicted drug efflux system				
ECK1039	b1054	1787292	lpxL	e	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	2.3.1.-			
ECK1040	b1055	1787294	yceA	d	conserved protein				
ECK1041	b1056	1787295	yceI	o	predicted protein				
ECK1042	b1057	1787296	yceJ	pc	predicted cytochrome b561				
ECK1043	b1058	1787297	yceO	o	predicted protein				
ECK1044	b1059	1787298	solA	e	N-methyltryptophan oxidase, FAD-binding	1.5.3.2			
ECK1045	b1060	1787299	yceP	o	predicted protein				
ECK1046	b1061	1787300	dinI	f	DNA damage-inducible protein I				
ECK1047	b1062	1787301	pyrC	e	dihydro-orotase	3.5.2.3			
ECK1048	b1063	1787302	yceB	lp	predicted lipoprotein				
ECK1049	b1064	1787303	grxB	c	glutaredoxin 2 (Grx2)				
ECK1050	b1065	87081828	mdtH	pt	predicted drug efflux system				
ECK1051	b1066	1787305	rimJ	e	ribosomal-protein-S5-alanine N-acetyltransferase	2.3.1.128			
ECK1052	b1067	1787306	yceH	o	conserved protein				
ECK1053	b1068	1787307	mviM	pe	predicted oxidoreductase, NAD(P)-binding Rossmann-fold domain				
ECK1054	b1069	1787309	mviN	pm	predicted inner membrane protein				
ECK1055	b1070	1787310	flgN	f	export chaperone for FlgK and FlgL				
ECK1056	b1071	1787311	flgM	f	anti-sigma factor for FliA (sigma 28)				
ECK1057	b1072	1787312	flgA	s	assembly protein for flagellar basal-body periplasmic P ring				
ECK1058	b1073	1787313	flgB	s	flagellar component of cell-proximal portion of basal-body rod				
ECK1059	b1074	1787314	flgC	s	flagellar component of cell-proximal portion of basal-body rod				
ECK1060	b1075	1787315	flgD	s	flagellar hook assembly protein				
ECK1061	b1076	1787316	flgE	s	flagellar hook protein				
ECK1062	b1077	1787317	flgF	s	flagellar component of cell-proximal portion of basal-body rod				
ECK1063	b1078	1787318	flgG	s	flagellar component of cell-distal portion of basal-body rod				
ECK1064	b1079	1787319	flgH	s	flagellar protein of basal-body outer-membrane L ring				
ECK1065	b1080	1787320	flgI	ps	predicted flagellar basal body protein				
ECK1066	b1081	1787321	flgJ	e	muramidase				
ECK1067	b1082	1787323	flgK	s	flagellar hook-filament junction protein 1				
ECK1068	b1083	1787324	flgL	s	flagellar hook-filament junction protein				
ECK1069	b1084	1787325	rne	e	fused ribonuclease E endoribonuclease -!- scaffold for formation of degradosome	3.1.4.-			
ECK1070	b1085	87081829	yceQ	o	predicted protein				
ECK1071	b1086	1787327	rluC	e	23S rRNA pseudouridylate synthase	4.2.1.70			
ECK1072	b1087	87081830	yceF	d	predicted protein				
ECK1073	b4418		sraB	n	small RNA				
ECK1074	b1088	1787329	yceD	o	conserved protein				
ECK1075	b1089	1787330	rpmF	s	50S ribosomal subunit protein L32				
ECK1076	b1090	87081831	plsX	pe	fatty acid/phospholipid synthesis protein				
ECK1077	b1091	1787333	fabH	e	3-oxoacyl-[acyl-carrier-protein] synthase III	2.3.1.41			
ECK1078	b1092	1787334	fabD	e	malonyl-CoA-[acyl-carrier-protein] transacylase	2.3.1.39			
ECK1079	b1093	1787335	fabG	e	3-oxoacyl-[acyl-carrier-protein] reductase, NAD(P)-binding domain	1.1.1.100			
ECK1080	b1094	1787336	acpP	c	acyl carrier protein (ACP)				
ECK1081	b1095	1787337	fabF	e	3-oxoacyl-[acyl-carrier-protein] synthase II	2.3.1.41			
ECK1082	b1096	1787338	pabC	e	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex	4.1.3.38			
ECK1083	b1097	1787339	yceG	pe	predicted aminodeoxychorismate lyase				
ECK1084	b1098	1787340	tmk	e	thymidylate kinase	2.7.4.9			
ECK1085	b1099	1787341	holB	e	DNA polymerase III, delta prime subunit	2.7.7.7			
ECK1086	b1100	1787342	ycfH	pe	predicted metallodependent hydrolase				
ECK1087	b1101	1787343	ptsG	t	fused glucose-specific PTS enzyme IIBC components	2.7.1.69			
ECK1088	b1102	1787344	fhuE	t	ferric-rhodotorulic acid outer membrane transporter				
ECK1089	b1103	1787346	hinT	e	purine nucleoside phosphoramidase				
ECK1090	b1104	1787347	ycfL	o	predicted protein				
ECK1091	b1105	1787348	ycfM	pm	predicted outer membrane lipoprotein				
ECK1092	b1106	1787349	ycfN	e	thiamin kinase	2.7.1.89			
ECK1093	b1107	1787350	nagZ	e	beta N-acetyl-glucosaminidase	3.2.1.52			
ECK1094	b1108	87081832	ycfP	o	conserved protein				
ECK1095	b1109	1787352	ndh	e	respiratory NADH dehydrogenase 2/cupric reductase	1.6.99.3	1.16.1.-		
ECK1096	b1110	1787353	ycfJ	o	predicted protein				
ECK1097	b1111	87081833	ycfQ	pr	predicted DNA-binding transcriptional regulator				
ECK1098	b1112	1787355	ycfR	o	predicted protein				
ECK1099	b1113	1787356	ycfS	d	conserved protein				
ECK1100	b1114	1787357	mfd	f	transcription-repair coupling factor				
ECK1101	b1115	1787359	ycfT	pm	predicted inner membrane protein				
ECK1102	b1116	1787360	lolC	t	outer membrane-specific lipoprotein transporter subunit -!- membrane component of ABC superfamily				
ECK1103	b1117	87081834	lolD	t	outer membrane-specific lipoprotein transporter subunit -!- ATP-binding component of ABC superfamily				
ECK1104	b1118	1787362	lolE	t	outer membrane-specific lipoprotein transporter subunit -!- membrane component of ABC superfamily				
ECK1105	b1119	1787363	nagK	pr	N-acetyl-D-glucosamine kinase	2.7.1.59			
ECK1106	b1120	1787364	cobB	e	deacetylase of acetyl-CoA synthetase, NAD-dependent				
ECK1107	b1121	1787365	ycfZ	pm	predicted inner membrane protein				
ECK1108	b1122	87081835	ymfA	pm	predicted inner membrane protein				
ECK1109	b1123	1787367	potD	t	polyamine transporter subunit -!- periplasmic-binding component of ABC superfamily				
ECK1110	b1124	1787368	potC	t	polyamine transporter subunit -!- membrane component of ABC superfamily				
ECK1111	b1125	1787369	potB	t	polyamine transporter subunit -!- membrane component of ABC superfamily				
ECK1112	b1126	1787370	potA	t	polyamine transporter subunit -!- ATP-binding component of ABC superfamily				
ECK1113	b1127	1787372	pepT	e	peptidase T				
ECK1114	b1128	87081836	ycfD	d	conserved protein				
ECK1115	b1129	1787374	phoQ	r	sensory histidine kinase in two-compoent regulatory system with PhoP				
ECK1116	b1130	1787375	phoP	r	DNA-binding response regulator in two-component regulatory system with PhoQ				
ECK1117	b1131	1787376	purB	e	adenylosuccinate lyase	4.3.2.2			
ECK1118	b1132	1787377	hflD	pr	predicted lysogenization regulator				
ECK1119	b1133	87081837	trmU	e	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	2.1.1.61			
ECK1120	b1134	1787379	ymfB	e	bifunctional thiamin pyrimidine pyrophosphate hydrolase -!- thiamin pyrophosphate hydrolase	3.6.-.-			
ECK1121	b1135	87081838	ymfC	e	23S rRNA pseudouridine synthase	4.2.1.70			
ECK1122	b1136	1787381	icd	h	e14 prophage; isocitrate dehydrogenase, specific for NADP+	1.1.1.42			
ECK1123	b1137	1787383	ymfD	h	e14 prophage; predicted SAM-dependent methyltransferase				
ECK1124	b1138	1787384	ymfE	h	e14 prophage; predicted inner membrane protein				
ECK1125	b1139	1787385	lit	h	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression				
ECK1126	b1140	1787386	intE	h	e14 prophage; predicted integrase				
ECK1127	b1141	1787387	ymfG	h	e14 prophage; predicted excisionase				
ECK1128	b1142	1787388	ymfH	h	e14 prophage; predicted protein				
ECK1129	b1143	87081839	ymfI	h	e14 prophage; predicted protein				
ECK1130	b1144	87081840	ymfJ	h	e14 prophage; predicted protein				
ECK1131	b1145	1787391	ymfK	h	e14 prophage; repressor protein phage e14				
ECK1132	b1146	87081841	ymfT	h	e14 prophage; predicted DNA-binding transcriptional regulator				
ECK1133	b1147	1787393	ymfL	h	e14 prophage; predicted DNA-binding transcriptional regulator				
ECK1134	b1148	1787394	ymfM	h	e14 prophage; predicted protein				
ECK1135	b1149	1787395	ymfN	h	e14 prophage; predicted DNA-binding transcriptional regulator				
ECK1136	b1150	1787396	ymfR	h	e14 prophage; predicted protein				
ECK1137	b1151	1787397	ymfO	h	e14 prophage; conserved protein				
ECK1138	b1152	87081842	ymfP	h	e14 prophage; conserved protein				
ECK1139	b1153	1787399	ymfQ	h	e14 prophage; conserved protein				
ECK1140	b1154	1787400	ycfK	h	e14 prophage; predicted protein				
ECK1141	b1155	1787401	ymfS	h	e14 prophage; predicted protein				
ECK1142	b1156	1787402	tfaE	h	e14 prophage; predicted tail fiber assembly protein				
ECK1143	b1157	87081843	stfE	h	e14 prophage; predicted side tail fiber protein fragment (pseudogene)				
ECK1144	b1158	1787404	pin	h	e14 prophage; site-specific DNA recombinase				
ECK1145	b1159	1787406	mcrA	h	e14 prophage; 5-methylcytosine-specific restriction endonuclease B	3.1.21.-			
ECK1146	b4519	87081844	icdC	su	conserved protein (pseudogene)				
ECK1147	b1160	1787407	elbA	o	predicted protein				
ECK1148	b1161	1787408	ycgX	o	predicted protein				
ECK1149	b1162	1787409	ycgE	pr	predicted DNA-binding transcriptional regulator				
ECK1150	b1163	1787410	ycgF	pe	predicted FAD-binding phosphodiesterase				
ECK1151	b1164	1787411	ycgZ	o	predicted protein				
ECK1152	b1165	1787412	ymgA	o	predicted protein				
ECK1153	b1166	1787413	ymgB	o	predicted protein				
ECK1154	b1167	1787414	ymgC	o	predicted protein				
ECK1155	b1168	87081845	ycgG	pm	conserved inner membrane protein				
ECK1156	b4520	87081846	ymgF	o	predicted protein				
ECK1157	b1169	87081847	ycgH_1	su	predicted protein, N-ter fragment (pseudogene)				
ECK1157	b1170	87081848	ycgH_2	su	predicted protein, C-ter fragment (pseudogene)				
ECK1157	b4491		ycgH	su	predicted protein (pseudogene)				
ECK1158	b1171	87081849	ymgD	o	predicted protein				
ECK1159	b1172	87081850	ymgG	o	predicted protein				
ECK1160	b4521	87081851	ymgH	o	predicted protein				
ECK1161	b1173	1787421	ycgI	o	predicted protein				
ECK1162	b1174	1787422	minE	cp	cell division topological specificity factor				
ECK1163	b1175	1787423	minD	f	membrane ATPase of the MinC-MinD-MinE system				
ECK1164	b1176	1787424	minC	cp	cell division inhibitor				
ECK1165	b1177	1787425	ycgJ	o	predicted protein				
ECK1166	b1178	1787426	ycgK	o	predicted protein				
